Food,Refrigerated During Retail?,Store Loss Rate (%),Home Waste Rate (%)
Salmon,1,8,31
Garlic,0,8,22
Carrots,1,8,22
Potato,0,8,22
Honey,0,11,0
Greek Yogurt,1,10,19
Aleppo Pepper,0,8,22
Cumin,0,10,0
Mint,1,8,22
Ground Beef,1,4,23
Potato Buns,0,12,19
Chioggia Beet,1,8,22
,,,
Russet Potato,0,8,22
Sugar,0,11,0
Red Wine Vinegar,0,11,0
Provolone Cheese,1,10,19
Chicken Breasts,1,4,18
Cannellini Beans,0,8,22
,,,
,,,
Kale,1,8,22
Thyme,1,8,22
Dijon Mustard,0,10,0
Shallot,0,10,22
,,,
Panko Breadcrumbs,0,12,19
Mafalda Pasta,0,12,19
,,,
Kale,1,8,22
Butternut Squash,0,8,22
Rosemary,1,8,22
Butter,1,21,0
Parmesan Cheese,1,10,19
Crème Fraîche,1,10,19
Roasted Walnuts,0,6,9
Verjus Blanc,0,10,0
Crushed Red Pepper Flakes,0,10,0
Capers,0,10,0
Semi-Pearled Farro,0,12,19
Eggs,1,7,21
Apple,0,12,25
Purple Top Turnip,1,8,22
,,,
Yellow Onion,0,8,22
,,,
Sage,1,8,22
Apple Cider Vinegar,0,10,0
Butter,1,21,0
Dried Shiitake Mushrooms,1,6,18
Lamb Chopper Cheese,1,10,19
